R2B2,V2,delta_R2B2,delta_V2
1.669E-10,50,1.050E-11,0.1
1.736E-10,50,1.082E-11,0.1
1.690E-10,50,1.061E-11,0.1
1.783E-10,50,1.105E-11,0.1
1.740E-10,50,1.097E-11,0.1
1.976E-10,60.2,1.247E-11,0.1
2.044E-10,60.2,1.273E-11,0.1
2.021E-10,60.2,1.269E-11,0.1
2.025E-10,60.2,1.275E-11,0.1
1.923E-10,60.2,1.190E-11,0.1
2.341E-10,70,1.470E-11,0.1
2.418E-10,70,1.505E-11,0.1
2.358E-10,70,1.474E-11,0.1
2.418E-10,70,1.495E-11,0.1
2.315E-10,70,1.456E-11,0.1
2.665E-10,80,1.682E-11,0.1
2.801E-10,80,1.742E-11,0.1
2.721E-10,80,1.686E-11,0.1
2.786E-10,80,1.737E-11,0.1
2.680E-10,80,1.654E-11,0.1
3.049E-10,90,1.920E-11,0.1
3.141E-10,90,1.965E-11,0.1
3.137E-10,90,1.958E-11,0.1
3.180E-10,90,1.963E-11,0.1
3.004E-10,90,1.872E-11,0.1
